	 DWIA + Delta + pion modifications 
    25.00  0.3426E+01  0.1663E+01  -.1262E+01  -.9887E+00    1.0830
    30.00  0.2909E+01  0.9084E+00  -.1274E+01  -.7509E+00    1.3430
    35.00  0.2379E+01  0.4584E+00  -.1185E+01  -.5185E+00    1.6456
    40.00  0.1860E+01  0.2206E+00  -.1026E+01  -.3318E+00    1.9883
    45.00  0.1395E+01  0.1108E+00  -.8355E+00  -.2016E+00    2.3687
    50.00  0.1004E+01  0.6589E-01  -.6447E+00  -.1183E+00    2.7839
    55.00  0.6922E+00  0.4859E-01  -.4718E+00  -.6764E-01    3.2306
    60.00  0.4605E+00  0.4084E-01  -.3300E+00  -.3837E-01    3.7055
    65.00  0.2982E+00  0.3500E-01  -.2231E+00  -.2179E-01    4.2049
    70.00  0.1869E+00  0.2879E-01  -.1452E+00  -.1234E-01    4.7251
    75.00  0.1142E+00  0.2238E-01  -.9160E-01  -.6994E-02    5.2621
    80.00  0.6848E-01  0.1643E-01  -.5637E-01  -.3995E-02    5.8118
    85.00  0.4099E-01  0.1149E-01  -.3441E-01  -.2335E-02    6.3701
    90.00  0.2444E-01  0.7685E-02  -.2075E-01  -.1401E-02    6.9326
    95.00  0.1454E-01  0.4944E-02  -.1234E-01  -.8654E-03    7.4952
   100.00  0.8746E-02  0.3106E-02  -.7291E-02  -.5484E-03    8.0534
   105.00  0.5384E-02  0.1954E-02  -.4314E-02  -.3470E-03    8.6031
   110.00  0.3436E-02  0.1290E-02  -.2576E-02  -.2064E-03    9.1401
   115.00  0.2277E-02  0.9445E-03  -.1551E-02  -.9759E-04    9.6603
   120.00  0.1587E-02  0.8032E-03  -.9513E-03  -.1065E-04   10.1598
   125.00  0.1158E-02  0.7745E-03  -.5926E-03  0.6003E-04   10.6347
   130.00  0.8710E-03  0.7999E-03  -.3707E-03  0.1137E-03   11.0814
   135.00  0.6719E-03  0.8496E-03  -.2323E-03  0.1514E-03   11.4965
   140.00  0.5333E-03  0.9060E-03  -.1452E-03  0.1725E-03   11.8769
   145.00  0.4255E-03  0.9573E-03  -.8921E-04  0.1796E-03   12.2197
   150.00  0.3499E-03  0.9968E-03  -.5333E-04  0.1739E-03   12.5222
   155.00  0.2914E-03  0.1024E-02  -.3022E-04  0.1586E-03   12.7822
   160.00  0.2474E-03  0.1041E-02  -.1567E-04  0.1356E-03   12.9977
   165.00  0.2183E-03  0.1055E-02  -.7010E-05  0.1068E-03   13.1670
   170.00  0.1975E-03  0.1068E-02  -.2467E-05  0.7366E-04   13.2889
   175.00  0.1848E-03  0.1079E-02  -.5094E-06  0.3759E-04   13.3624


 EGEQ(LAB)= 360.00   EG*(LAB)= 377.76 MEV   QI=439.62 MEV   QF=292.76 MEV
 W3He(MEV)=3154.333   EG*(CM)= 305.399   EPI(CM)= 324.340   Q2GEV=   0.100
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.4735E+01  0.6665E+01  -.1640E-08  -.6052E-04    0.5539
     5.00  0.4628E+01  0.6271E+01  -.1184E+00  -.5094E+00    0.5791
    10.00  0.4352E+01  0.5234E+01  -.4075E+00  -.9086E+00    0.6544
    15.00  0.3983E+01  0.3884E+01  -.7304E+00  -.1110E+01    0.7792
    20.00  0.3571E+01  0.2580E+01  -.9804E+00  -.1098E+01    0.9526
    25.00  0.3125E+01  0.1549E+01  -.1115E+01  -.9321E+00    1.1733
    30.00  0.2647E+01  0.8466E+00  -.1132E+01  -.7034E+00    1.4396
    35.00  0.2163E+01  0.4305E+00  -.1059E+01  -.4857E+00    1.7494
    40.00  0.1686E+01  0.2095E+00  -.9182E+00  -.3117E+00    2.1005
    45.00  0.1255E+01  0.1063E+00  -.7443E+00  -.1898E+00    2.4901
    50.00  0.8986E+00  0.6378E-01  -.5722E+00  -.1122E+00    2.9153
    55.00  0.6176E+00  0.4701E-01  -.4175E+00  -.6497E-01    3.3728
    60.00  0.4079E+00  0.3898E-01  -.2900E+00  -.3718E-01    3.8592
    65.00  0.2606E+00  0.3284E-01  -.1934E+00  -.2116E-01    4.3708
    70.00  0.1622E+00  0.2670E-01  -.1249E+00  -.1203E-01    4.9036
    75.00  0.9860E-01  0.2057E-01  -.7837E-01  -.6820E-02    5.4536
    80.00  0.5866E-01  0.1497E-01  -.4788E-01  -.3856E-02    6.0166
    85.00  0.3471E-01  0.1035E-01  -.2891E-01  -.2200E-02    6.5884
    90.00  0.2038E-01  0.6830E-02  -.1719E-01  -.1272E-02    7.1645
    95.00  0.1197E-01  0.4337E-02  -.1010E-01  -.7518E-03    7.7407
   100.00  0.7115E-02  0.2687E-02  -.5916E-02  -.4527E-03    8.3124
   105.00  0.4363E-02  0.1677E-02  -.3495E-02  -.2713E-03    8.8755
   110.00  0.2773E-02  0.1104E-02  -.2085E-02  -.1484E-03    9.4255
   115.00  0.1842E-02  0.8187E-03  -.1264E-02  -.5645E-04    9.9583
   120.00  0.1280E-02  0.7086E-03  -.7789E-03  0.1675E-04   10.4698
   125.00  0.9254E-03  0.6947E-03  -.4875E-03  0.7652E-04   10.9562
   130.00  0.6973E-03  0.7293E-03  -.3096E-03  0.1207E-03   11.4137
   135.00  0.5376E-03  0.7810E-03  -.1966E-03  0.1509E-03   11.8389
   140.00  0.4181E-03  0.8350E-03  -.1238E-03  0.1675E-03   12.2285
   145.00  0.3337E-03  0.8827E-03  -.7686E-04  0.1710E-03   12.5796
   150.00  0.2672E-03  0.9189E-03  -.4627E-04  0.1642E-03   12.8895
   155.00  0.2199E-03  0.9425E-03  -.2639E-04  0.1486E-03   13.1557
   160.00  0.1849E-03  0.9574E-03  -.1376E-04  0.1264E-03   13.3764
   165.00  0.1587E-03  0.9690E-03  -.6239E-05  0.9915E-04   13.5499
   170.00  0.1402E-03  0.9799E-03  -.2237E-05  0.6820E-04   13.6747
   175.00  0.1302E-03  0.9883E-03  -.4682E-06  0.3473E-04   13.7500


 EGEQ(LAB)= 360.00   EG*(LAB)= 379.54 MEV   QI=449.78 MEV   QF=292.76 MEV
 W3He(MEV)=3154.333   EG*(CM)= 303.814   EPI(CM)= 324.340   Q2GEV=   0.110
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.4239E+01  0.6148E+01  -.1381E-08  -.5926E-04    0.6332
     5.00  0.4153E+01  0.5783E+01  -.1001E+00  -.4962E+00    0.6589
    10.00  0.3924E+01  0.4820E+01  -.3477E+00  -.8738E+00    0.7359
    15.00  0.3610E+01  0.3576E+01  -.6315E+00  -.1054E+01    0.8637
    20.00  0.3246E+01  0.2377E+01  -.8583E+00  -.1032E+01    1.0411
    25.00  0.2845E+01  0.1430E+01  -.9863E+00  -.8709E+00    1.2669
    30.00  0.2412E+01  0.7865E+00  -.1011E+01  -.6564E+00    1.5393
    35.00  0.1961E+01  0.4013E+00  -.9460E+00  -.4523E+00    1.8563
    40.00  0.1520E+01  0.1965E+00  -.8177E+00  -.2902E+00    2.2155
    45.00  0.1129E+01  0.1012E+00  -.6627E+00  -.1780E+00    2.6141
    50.00  0.8065E+00  0.6139E-01  -.5091E+00  -.1061E+00    3.0491
    55.00  0.5477E+00  0.4474E-01  -.3671E+00  -.6158E-01    3.5172
    60.00  0.3592E+00  0.3664E-01  -.2531E+00  -.3545E-01    4.0149
    65.00  0.2288E+00  0.3056E-01  -.1684E+00  -.2034E-01    4.5382
    70.00  0.1412E+00  0.2455E-01  -.1078E+00  -.1155E-01    5.0833
    75.00  0.8449E-01  0.1866E-01  -.6659E-01  -.6479E-02    5.6461
    80.00  0.4971E-01  0.1343E-01  -.4025E-01  -.3611E-02    6.2221
    85.00  0.2919E-01  0.9204E-02  -.2414E-01  -.2019E-02    6.8071
    90.00  0.1698E-01  0.6011E-02  -.1423E-01  -.1132E-02    7.3965
    95.00  0.9887E-02  0.3773E-02  -.8305E-02  -.6431E-03    7.9860
   100.00  0.5835E-02  0.2309E-02  -.4838E-02  -.3687E-03    8.5710
   105.00  0.3552E-02  0.1424E-02  -.2847E-02  -.2071E-03    9.1470
   110.00  0.2242E-02  0.9306E-03  -.1696E-02  -.1008E-03    9.7097
   115.00  0.1483E-02  0.6949E-03  -.1031E-02  -.2315E-04   10.2548
   120.00  0.1038E-02  0.6170E-03  -.6454E-03  0.3774E-04   10.7782
   125.00  0.7566E-03  0.6195E-03  -.4113E-03  0.8586E-04   11.2758
   130.00  0.5662E-03  0.6580E-03  -.2641E-03  0.1224E-03   11.7439
   135.00  0.4319E-03  0.7093E-03  -.1698E-03  0.1468E-03   12.1789
   140.00  0.3359E-03  0.7607E-03  -.1084E-03  0.1591E-03   12.5775
   145.00  0.2609E-03  0.8043E-03  -.6791E-04  0.1607E-03   12.9367
   150.00  0.2078E-03  0.8363E-03  -.4112E-04  0.1527E-03   13.2538
   155.00  0.1666E-03  0.8570E-03  -.2364E-04  0.1374E-03   13.5262
   160.00  0.1362E-03  0.8698E-03  -.1250E-04  0.1164E-03   13.7520
   165.00  0.1156E-03  0.8787E-03  -.5754E-05  0.9100E-04   13.9294
   170.00  0.1012E-03  0.8868E-03  -.2113E-05  0.6245E-04   14.0571
   175.00  0.9247E-04  0.8935E-03  -.4562E-06  0.3177E-04   14.1341


 EGEQ(LAB)= 360.00   EG*(LAB)= 381.32 MEV   QI=459.72 MEV   QF=292.76 MEV
 W3He(MEV)=3154.333   EG*(CM)= 302.229   EPI(CM)= 324.340   Q2GEV=   0.120
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.3791E+01  0.5605E+01  -.1172E-08  -.5653E-04    0.7159
     5.00  0.3721E+01  0.5272E+01  -.8523E-01  -.4719E+00    0.7422
    10.00  0.3532E+01  0.4396E+01  -.2986E+00  -.8249E+00    0.8209
    15.00  0.3264E+01  0.3262E+01  -.5482E+00  -.9865E+00    0.9514
    20.00  0.2946E+01  0.2174E+01  -.7540E+00  -.9601E+00    1.1328
    25.00  0.2585E+01  0.1311E+01  -.8737E+00  -.8075E+00    1.3636
    30.00  0.2189E+01  0.7239E+00  -.8997E+00  -.6077E+00    1.6420
    35.00  0.1771E+01  0.3705E+00  -.8417E+00  -.4181E+00    1.9661
    40.00  0.1373E+01  0.1841E+00  -.7297E+00  -.2700E+00    2.3332
    45.00  0.1017E+01  0.9620E-01  -.5913E+00  -.1666E+00    2.7406
    50.00  0.7196E+00  0.5825E-01  -.4500E+00  -.9942E-01    3.1852
    55.00  0.4854E+00  0.4221E-01  -.3224E+00  -.5801E-01    3.6637
    60.00  0.3181E+00  0.3429E-01  -.2222E+00  -.3371E-01    4.1723
    65.00  0.2002E+00  0.2815E-01  -.1460E+00  -.1929E-01    4.7072
    70.00  0.1219E+00  0.2231E-01  -.9225E-01  -.1089E-01    5.2644
    75.00  0.7237E-01  0.1681E-01  -.5655E-01  -.6077E-02    5.8395
    80.00  0.4256E-01  0.1203E-01  -.3417E-01  -.3366E-02    6.4283
    85.00  0.2469E-01  0.8159E-02  -.2026E-01  -.1843E-02    7.0262
    90.00  0.1417E-01  0.5266E-02  -.1180E-01  -.1002E-02    7.6287
    95.00  0.8139E-02  0.3260E-02  -.6807E-02  -.5464E-03    8.2312
   100.00  0.4771E-02  0.1972E-02  -.3948E-02  -.2990E-03    8.8291
   105.00  0.2884E-02  0.1202E-02  -.2316E-02  -.1572E-03    9.4178
   110.00  0.1821E-02  0.7852E-03  -.1386E-02  -.6734E-04    9.9930
   115.00  0.1206E-02  0.5939E-03  -.8494E-03  -.8049E-05   10.5501
   120.00  0.8441E-03  0.5368E-03  -.5374E-03  0.4812E-04   11.0851
   125.00  0.6117E-03  0.5476E-03  -.3462E-03  0.8848E-04   11.5937
   130.00  0.4591E-03  0.5898E-03  -.2261E-03  0.1184E-03   12.0721
   135.00  0.3491E-03  0.6397E-03  -.1473E-03  0.1381E-03   12.5167
   140.00  0.2662E-03  0.6871E-03  -.9506E-04  0.1477E-03   12.9242
   145.00  0.2063E-03  0.7262E-03  -.5998E-04  0.1476E-03   13.2913
   150.00  0.1595E-03  0.7544E-03  -.3666E-04  0.1397E-03   13.6153
   155.00  0.1258E-03  0.7718E-03  -.2117E-04  0.1252E-03   13.8938
   160.00  0.1010E-03  0.7819E-03  -.1124E-04  0.1057E-03   14.1246
   165.00  0.8269E-04  0.7890E-03  -.5249E-05  0.8245E-04   14.3059
   170.00  0.6997E-04  0.7953E-03  -.1962E-05  0.5648E-04   14.4364
   175.00  0.6317E-04  0.8002E-03  -.4273E-06  0.2869E-04   14.5152


 EGEQ(LAB)= 360.00   EG*(LAB)= 383.09 MEV   QI=469.45 MEV   QF=292.76 MEV
 W3He(MEV)=3154.333   EG*(CM)= 300.644   EPI(CM)= 324.340   Q2GEV=   0.130
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.3387E+01  0.5068E+01  -.1002E-08  -.5297E-04    0.8018
     5.00  0.3330E+01  0.4768E+01  -.7306E-01  -.4413E+00    0.8287
    10.00  0.3173E+01  0.3977E+01  -.2579E+00  -.7678E+00    0.9090
    15.00  0.2946E+01  0.2956E+01  -.4780E+00  -.9137E+00    1.0423
    20.00  0.2665E+01  0.1973E+01  -.6632E+00  -.8855E+00    1.2275
    25.00  0.2340E+01  0.1194E+01  -.7739E+00  -.7434E+00    1.4632
    30.00  0.1982E+01  0.6629E+00  -.8012E+00  -.5599E+00    1.7475
    35.00  0.1604E+01  0.3423E+00  -.7519E+00  -.3864E+00    2.0784
    40.00  0.1237E+01  0.1713E+00  -.6497E+00  -.2499E+00    2.4533
    45.00  0.9116E+00  0.9021E-01  -.5245E+00  -.1546E+00    2.8694
    50.00  0.6421E+00  0.5494E-01  -.3978E+00  -.9279E-01    3.3234
    55.00  0.4321E+00  0.3968E-01  -.2844E+00  -.5453E-01    3.8120
    60.00  0.2796E+00  0.3170E-01  -.1936E+00  -.3160E-01    4.3314
    65.00  0.1743E+00  0.2570E-01  -.1260E+00  -.1806E-01    4.8776
    70.00  0.1058E+00  0.2020E-01  -.7937E-01  -.1020E-01    5.4466
    75.00  0.6233E-01  0.1508E-01  -.4828E-01  -.5651E-02    6.0339
    80.00  0.3621E-01  0.1067E-01  -.2884E-01  -.3080E-02    6.6351
    85.00  0.2065E-01  0.7149E-02  -.1683E-01  -.1644E-02    7.2457
    90.00  0.1170E-01  0.4558E-02  -.9694E-02  -.8674E-03    7.8609
    95.00  0.6672E-02  0.2789E-02  -.5562E-02  -.4553E-03    8.4762
   100.00  0.3891E-02  0.1666E-02  -.3219E-02  -.2370E-03    9.0868
   105.00  0.2338E-02  0.1001E-02  -.1886E-02  -.1151E-03    9.6880
   110.00  0.1473E-02  0.6506E-03  -.1133E-02  -.4012E-04   10.2753
   115.00  0.9832E-03  0.4998E-03  -.7058E-03  0.1303E-04   10.8443
   120.00  0.6925E-03  0.4635E-03  -.4540E-03  0.5442E-04   11.3905
   125.00  0.5052E-03  0.4829E-03  -.2977E-03  0.8751E-04   11.9099
   130.00  0.3761E-03  0.5250E-03  -.1970E-03  0.1124E-03   12.3985
   135.00  0.2837E-03  0.5726E-03  -.1302E-03  0.1284E-03   12.8525
   140.00  0.2157E-03  0.6160E-03  -.8487E-04  0.1355E-03   13.2686
   145.00  0.1630E-03  0.6509E-03  -.5415E-04  0.1346E-03   13.6435
   150.00  0.1247E-03  0.6750E-03  -.3317E-04  0.1267E-03   13.9743
   155.00  0.9545E-04  0.6896E-03  -.1929E-04  0.1131E-03   14.2587
   160.00  0.7386E-04  0.6977E-03  -.1036E-04  0.9530E-04   14.4944
   165.00  0.5923E-04  0.7026E-03  -.4869E-05  0.7420E-04   14.6796
   170.00  0.4914E-04  0.7069E-03  -.1841E-05  0.5076E-04   14.8129
   175.00  0.4315E-04  0.7105E-03  -.4089E-06  0.2577E-04   14.8932

**********   W = 3158.79 MeV    Q2=0.02 - 0.13 with step 0.01  **********

 EGEQ(LAB)= 365.00   EG*(LAB)= 368.55 MEV   QI=351.77 MEV   QF=297.18 MEV
 W3He(MEV)=3158.792   EG*(CM)= 322.087   EPI(CM)= 328.337   Q2GEV=   0.020
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.1129E+02  0.3568E+01  -.9004E-08  0.1255E-03    0.0765
     5.00  0.1063E+02  0.3680E+01  -.6229E+00  0.8864E+00    0.0969
    10.00  0.9133E+01  0.3675E+01  -.1898E+01  0.8930E+00    0.1581
    15.00  0.7708E+01  0.3199E+01  -.2886E+01  0.2535E+00    0.2595
    20.00  0.6671E+01  0.2390E+01  -.3281E+01  -.3585E+00    0.4003
    25.00  0.5838E+01  0.1553E+01  -.3225E+01  -.6363E+00    0.5796
    30.00  0.5031E+01  0.8969E+00  -.2934E+01  -.6280E+00    0.7959
    35.00  0.4196E+01  0.4664E+00  -.2544E+01  -.4841E+00    1.0476
    40.00  0.3368E+01  0.2219E+00  -.2125E+01  -.3196E+00    1.3327
    45.00  0.2596E+01  0.9930E-01  -.1712E+01  -.1864E+00    1.6492
    50.00  0.1923E+01  0.4562E-01  -.1328E+01  -.9657E-01    1.9945
    55.00  0.1376E+01  0.2595E-01  -.9948E+00  -.4385E-01    2.3662
    60.00  0.9571E+00  0.2012E-01  -.7226E+00  -.1638E-01    2.7612
    65.00  0.6476E+00  0.1837E-01  -.5089E+00  -.3802E-02    3.1767
    70.00  0.4253E+00  0.1686E-01  -.3461E+00  0.9226E-03    3.6095
    75.00  0.2778E+00  0.1483E-01  -.2328E+00  0.1827E-02    4.0562
    80.00  0.1784E+00  0.1222E-01  -.1529E+00  0.1375E-02    4.5135
    85.00  0.1135E+00  0.9524E-02  -.9859E-01  0.5918E-03    4.9780
    90.00  0.7182E-01  0.7080E-02  -.6256E-01  -.8708E-04    5.4459
    95.00  0.4545E-01  0.5073E-02  -.3914E-01  -.5405E-03    5.9139
   100.00  0.2919E-01  0.3548E-02  -.2439E-01  -.7852E-03    6.3783
   105.00  0.1906E-01  0.2440E-02  -.1510E-01  -.8656E-03    6.8356
   110.00  0.1267E-01  0.1670E-02  -.9233E-02  -.8335E-03    7.2824
   115.00  0.8745E-02  0.1174E-02  -.5660E-02  -.7429E-03    7.7151
   120.00  0.6226E-02  0.8652E-03  -.3438E-02  -.6168E-03    8.1306
   125.00  0.4575E-02  0.6834E-03  -.2063E-02  -.4799E-03    8.5257
   130.00  0.3509E-02  0.5874E-03  -.1234E-02  -.3530E-03    8.8973
   135.00  0.2791E-02  0.5461E-03  -.7316E-03  -.2439E-03    9.2427
   140.00  0.2267E-02  0.5384E-03  -.4235E-03  -.1540E-03    9.5591
   145.00  0.1918E-02  0.5502E-03  -.2439E-03  -.8850E-04    9.8443
   150.00  0.1654E-02  0.5658E-03  -.1353E-03  -.4118E-04   10.0960
   155.00  0.1460E-02  0.5781E-03  -.7102E-04  -.1008E-04   10.3123
   160.00  0.1331E-02  0.5883E-03  -.3412E-04  0.7355E-05   10.4915
   165.00  0.1232E-02  0.6016E-03  -.1390E-04  0.1576E-04   10.6324
   170.00  0.1162E-02  0.6195E-03  -.4279E-05  0.1564E-04   10.7338
   175.00  0.1119E-02  0.6366E-03  -.7595E-06  0.9527E-05   10.7949


 EGEQ(LAB)= 365.00   EG*(LAB)= 370.33 MEV   QI=364.31 MEV   QF=297.18 MEV
 W3He(MEV)=3158.792   EG*(CM)= 320.504   EPI(CM)= 328.337   Q2GEV=   0.030
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.1035E+02  0.5308E+01  -.7360E-08  0.7879E-04    0.1157
     5.00  0.9787E+01  0.5250E+01  -.5105E+00  0.5289E+00    0.1369
    10.00  0.8530E+01  0.4869E+01  -.1576E+01  0.4037E+00    0.2002
    15.00  0.7301E+01  0.4006E+01  -.2449E+01  -.1653E+00    0.3052
    20.00  0.6338E+01  0.2879E+01  -.2844E+01  -.6446E+00    0.4511
    25.00  0.5521E+01  0.1823E+01  -.2849E+01  -.8066E+00    0.6367
    30.00  0.4721E+01  0.1032E+01  -.2630E+01  -.7198E+00    0.8607
    35.00  0.3906E+01  0.5305E+00  -.2303E+01  -.5306E+00    1.1214
    40.00  0.3106E+01  0.2515E+00  -.1930E+01  -.3420E+00    1.4167
    45.00  0.2378E+01  0.1154E+00  -.1557E+01  -.1981E+00    1.7445
    50.00  0.1747E+01  0.5675E-01  -.1204E+01  -.1036E+00    2.1021
    55.00  0.1236E+01  0.3520E-01  -.8940E+00  -.4860E-01    2.4870
    60.00  0.8509E+00  0.2837E-01  -.6438E+00  -.2009E-01    2.8962
    65.00  0.5707E+00  0.2552E-01  -.4497E+00  -.6808E-02    3.3265
    70.00  0.3729E+00  0.2273E-01  -.3044E+00  -.1471E-02    3.7747
    75.00  0.2399E+00  0.1928E-01  -.2018E+00  0.9201E-04    4.2374
    80.00  0.1518E+00  0.1540E-01  -.1306E+00  0.1694E-03    4.7110
    85.00  0.9514E-01  0.1167E-01  -.8310E-01  -.2036E-03    5.1920
    90.00  0.5913E-01  0.8439E-02  -.5188E-01  -.5777E-03    5.6766
    95.00  0.3704E-01  0.5912E-02  -.3218E-01  -.8282E-03    6.1613
   100.00  0.2356E-01  0.4044E-02  -.1988E-01  -.9355E-03    6.6423
   105.00  0.1520E-01  0.2720E-02  -.1217E-01  -.9252E-03    7.1159
   110.00  0.1003E-01  0.1829E-02  -.7384E-02  -.8385E-03    7.5786
   115.00  0.6811E-02  0.1261E-02  -.4449E-02  -.7085E-03    8.0268
   120.00  0.4775E-02  0.9197E-03  -.2655E-02  -.5600E-03    8.4571
   125.00  0.3526E-02  0.7363E-03  -.1595E-02  -.4193E-03    8.8662
   130.00  0.2696E-02  0.6446E-03  -.9470E-03  -.2912E-03    9.2511
   135.00  0.2109E-02  0.6096E-03  -.5497E-03  -.1814E-03    9.6088
   140.00  0.1733E-02  0.6139E-03  -.3207E-03  -.1002E-03    9.9365
   145.00  0.1438E-02  0.6339E-03  -.1805E-03  -.3871E-04   10.2318
   150.00  0.1248E-02  0.6571E-03  -.1002E-03  -.3720E-06   10.4925
   155.00  0.1098E-02  0.6747E-03  -.5204E-04  0.2388E-04   10.7165
   160.00  0.9837E-03  0.6886E-03  -.2396E-04  0.3500E-04   10.9021
   165.00  0.9138E-03  0.7043E-03  -.9264E-05  0.3541E-04   11.0480
   170.00  0.8630E-03  0.7242E-03  -.2593E-05  0.2840E-04   11.1530
   175.00  0.8316E-03  0.7427E-03  -.3946E-06  0.1577E-04   11.2164


 EGEQ(LAB)= 365.00   EG*(LAB)= 372.11 MEV   QI=376.44 MEV   QF=297.18 MEV
 W3He(MEV)=3158.792   EG*(CM)= 318.921   EPI(CM)= 328.337   Q2GEV=   0.040
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.9450E+01  0.6697E+01  -.5965E-08  0.3594E-04    0.1613
     5.00  0.8975E+01  0.6473E+01  -.4154E+00  0.2049E+00    0.1832
    10.00  0.7942E+01  0.5763E+01  -.1304E+01  -.2661E-01    0.2486
    15.00  0.6878E+01  0.4569E+01  -.2072E+01  -.5156E+00    0.3571
    20.00  0.5978E+01  0.3191E+01  -.2457E+01  -.8621E+00    0.5079
    25.00  0.5183E+01  0.1981E+01  -.2508E+01  -.9188E+00    0.6997
    30.00  0.4402E+01  0.1107E+01  -.2350E+01  -.7697E+00    0.9312
    35.00  0.3614E+01  0.5637E+00  -.2075E+01  -.5500E+00    1.2005
    40.00  0.2859E+01  0.2680E+00  -.1750E+01  -.3498E+00    1.5057
    45.00  0.2170E+01  0.1248E+00  -.1409E+01  -.2017E+00    1.8443
    50.00  0.1577E+01  0.6368E-01  -.1083E+01  -.1062E+00    2.2139
    55.00  0.1109E+01  0.4147E-01  -.8006E+00  -.5154E-01    2.6116
    60.00  0.7594E+00  0.3399E-01  -.5744E+00  -.2310E-01    3.0344
    65.00  0.5019E+00  0.3002E-01  -.3955E+00  -.9290E-02    3.4790
    70.00  0.3245E+00  0.2617E-01  -.2650E+00  -.3418E-02    3.9422
    75.00  0.2056E+00  0.2167E-01  -.1731E+00  -.1279E-02    4.4202
    80.00  0.1289E+00  0.1700E-01  -.1111E+00  -.7443E-03    4.9096
    85.00  0.7983E-01  0.1265E-01  -.6989E-01  -.7529E-03    5.4066
    90.00  0.4906E-01  0.8996E-02  -.4320E-01  -.8704E-03    5.9074
    95.00  0.3043E-01  0.6199E-02  -.2656E-01  -.9519E-03    6.4082
   100.00  0.1908E-01  0.4162E-02  -.1621E-01  -.9509E-03    6.9052
   105.00  0.1211E-01  0.2746E-02  -.9771E-02  -.8767E-03    7.3946
   110.00  0.7876E-02  0.1816E-02  -.5847E-02  -.7565E-03    7.8727
   115.00  0.5315E-02  0.1245E-02  -.3497E-02  -.6160E-03    8.3358
   120.00  0.3753E-02  0.9205E-03  -.2097E-02  -.4724E-03    8.7805
   125.00  0.2745E-02  0.7473E-03  -.1246E-02  -.3345E-03    9.2033
   130.00  0.2070E-02  0.6673E-03  -.7297E-03  -.2119E-03    9.6010
   135.00  0.1643E-02  0.6493E-03  -.4294E-03  -.1168E-03    9.9705
   140.00  0.1325E-02  0.6626E-03  -.2464E-03  -.4276E-04   10.3092
   145.00  0.1112E-02  0.6917E-03  -.1407E-03  0.7430E-05   10.6144
   150.00  0.9419E-03  0.7201E-03  -.7665E-04  0.3900E-04   10.8837
   155.00  0.8335E-03  0.7412E-03  -.3978E-04  0.5372E-04   11.1152
   160.00  0.7492E-03  0.7572E-03  -.1807E-04  0.5727E-04   11.3070
   165.00  0.6846E-03  0.7744E-03  -.6493E-05  0.5176E-04   11.4577
   170.00  0.6385E-03  0.7952E-03  -.1538E-05  0.3899E-04   11.5662
   175.00  0.6151E-03  0.8136E-03  -.1609E-06  0.2086E-04   11.6317


 EGEQ(LAB)= 365.00   EG*(LAB)= 373.88 MEV   QI=388.21 MEV   QF=297.18 MEV
 W3He(MEV)=3158.792   EG*(CM)= 317.338   EPI(CM)= 328.337   Q2GEV=   0.050
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.8555E+01  0.7595E+01  -.4804E-08  0.1318E-05    0.2128
     5.00  0.8191E+01  0.7274E+01  -.3373E+00  -.5492E-01    0.2353
    10.00  0.7334E+01  0.6304E+01  -.1076E+01  -.3649E+00    0.3028
    15.00  0.6415E+01  0.4874E+01  -.1748E+01  -.7771E+00    0.4147
    20.00  0.5592E+01  0.3341E+01  -.2120E+01  -.1010E+01    0.5701
    25.00  0.4836E+01  0.2048E+01  -.2206E+01  -.9826E+00    0.7680
    30.00  0.4081E+01  0.1133E+01  -.2094E+01  -.7883E+00    1.0067
    35.00  0.3336E+01  0.5754E+00  -.1869E+01  -.5520E+00    1.2844
    40.00  0.2621E+01  0.2738E+00  -.1581E+01  -.3474E+00    1.5991
    45.00  0.1969E+01  0.1286E+00  -.1268E+01  -.1995E+00    1.9483
    50.00  0.1425E+01  0.6792E-01  -.9731E+00  -.1066E+00    2.3295
    55.00  0.9963E+00  0.4554E-01  -.7172E+00  -.5339E-01    2.7396
    60.00  0.6735E+00  0.3720E-01  -.5083E+00  -.2514E-01    3.1756
    65.00  0.4395E+00  0.3239E-01  -.3456E+00  -.1118E-01    3.6341
    70.00  0.2832E+00  0.2788E-01  -.2308E+00  -.5017E-02    4.1117
    75.00  0.1780E+00  0.2275E-01  -.1496E+00  -.2415E-02    4.6047
    80.00  0.1101E+00  0.1754E-01  -.9472E-01  -.1445E-02    5.1094
